Índice de Precios de Consumo (IPC)
Resultados por comunidades autónomas
Ponderaciones por comunidades autónomas de rúbricas
Unidades:   Tanto por mil

,2020,2019,2018,2017,
Nacional,
    Textiles y accesorios para el hogar,5,979,6,049,6,317,6,401,
    Electrodomésticos y reparaciones,10,426,10,348,10,499,10,686,
    Utensilios y herramientas para el hogar,4,403,4,739,4,687,4,513,
    Artículos no duraderos para el hogar,15,149,15,213,15,185,15,357,
    Servicios para el hogar,15,747,15,131,15,5,15,314,
    Servicios médicos y similares,14,265,14,23,18,959,18,871,
    Medicamentos y material terapéutico,25,405,24,583,21,055,21,051,
    Transporte personal,148,641,149,857,141,774,141,128,
    Transporte público urbano,6,935,6,522,6,742,6,657,
    Transporte público interurbano,8,967,8,527,8,939,8,775,
    Comunicaciones,37,635,36,849,35,854,35,437,
    Objetos recreativos,21,092,21,37,22,042,21,979,
    Publicaciones,5,856,5,766,6,091,6,428,
    Esparcimiento,27,116,27,072,27,027,26,866,
    Educación infantil y primaria,4,938,4,949,5,136,5,177,
    Educación secundaria,2,68,2,67,2,731,2,71,
    Educación universitaria,4,691,4,663,4,863,4,88,
    Otros gastos de enseñanza,5,398,5,45,5,65,5,514,
    Artículos de uso personal,22,175,21,491,22,201,21,738,
    Turismo y hostelería,134,451,138,58,137,593,134,763,
    Otros bienes y servicios,36,996,37,249,36,968,36,983,
02 Aragón,
    Cereales y derivados,15,378,14,342,15,324,15,759,
    Pan,12,463,11,381,12,193,12,446,
    Carne de vacuno,6,095,5,726,6,117,6,222,
    Carne de ovino,5,45,5,182,5,333,5,468,
    Carne de porcino,8,11,7,668,7,5,8,059,
    Carne de ave,8,459,7,933,8,079,8,481,
    Otras carnes,23,128,21,961,23,123,23,502,
    Pescado fresco y congelado,10,635,10,071,10,766,10,919,
    Crustáceos, moluscos y preparados de pescado,12,977,12,457,12,923,12,942,
    Huevos,1,943,2,002,1,874,1,97,
    Leche,6,906,6,836,7,255,7,528,
    Productos lácteos,11,817,12,09,12,238,12,648,
    Aceites y grasas,5,264,5,63,6,037,5,707,
    Frutas frescas,16,019,16,779,15,677,15,759,
    Frutas en conserva y frutos secos,3,032,2,809,2,92,2,975,
    Legumbres y hortalizas frescas,10,035,9,386,9,632,9,785,
    Preparados de legumbres y hortalizas,6,155,6,012,6,181,6,237,
    Patatas y sus preparados,2,491,2,385,2,371,2,402,
    Café, cacao e infusiones,3,878,3,651,3,859,3,837,
    Azúcar,0,579,0,546,0,608,0,612,
    Otros preparados alimenticios,12,284,12,271,12,416,12,316,
    Agua mineral, refrescos  y zumos,8,95,8,954,8,875,9,204,
    Bebidas alcohólicas,7,351,7,463,7,309,7,309,
    Tabaco,19,091,19,491,20,364,20,786,
    Prendas de vestir de hombre,18,665,19,364,18,896,19,24,
    Prendas de vestir de mujer,23,648,24,806,23,711,24,004,
    Prendas de vestir de niño y bebé,8,551,8,674,8,675,8,839,
    Complementos y reparaciones de prendas de vestir,2,115,2,102,2,107,2,119,
    Calzado de hombre,4,635,4,901,4,96,5,043,
    Calzado de mujer,6,859,7,066,7,574,7,513,
    Calzado de niño,2,443,2,442,2,62,2,621,
    Reparación de calzado,0,153,0,166,0,177,0,179,
    Vivienda en alquiler,29,134,29,27,29,206,28,725,
    Calefacción, alumbrado y distribución de agua,70,84,71,734,70,385,69,974,
    Conservación de la vivienda,44,567,42,958,44,284,44,535,
    Muebles y revestimientos de suelo,13,406,14,397,13,473,13,686,
    Textiles y accesorios para el hogar,6,43,6,515,6,807,6,901,
    Electrodomésticos y reparaciones,9,373,9,342,9,479,9,682,
    Utensilios y herramientas para el hogar,4,546,4,9,4,852,4,664,
    Artículos no duraderos para el hogar,13,628,13,703,13,676,13,838,
    Servicios para el hogar,16,813,16,163,16,6,16,415,
    Servicios médicos y similares,15,948,15,943,21,56,21,512,
    Medicamentos y material terapéutico,24,44,23,652,19,319,19,328,
    Transporte personal,132,439,133,629,126,688,126,171,
    Transporte público urbano,8,092,7,606,7,869,7,783,
    Transporte público interurbano,7,333,6,968,7,314,7,155,
    Comunicaciones,38,167,37,414,36,428,36,027,
    Objetos recreativos,22,748,23,147,23,832,23,825,
    Publicaciones,6,993,6,899,7,296,7,718,
    Esparcimiento,32,761,32,822,32,792,32,607,
    Educación infantil y primaria,5,124,5,142,5,299,5,372,
    Educación secundaria,2,732,2,72,2,752,2,736,
    Educación universitaria,5,958,5,926,6,173,6,206,
    Otros gastos de enseñanza,5,137,5,194,5,395,5,263,
    Artículos de uso personal,19,779,19,193,19,841,19,439,
    Turismo y hostelería,133,44,137,387,136,363,133,382,
    Otros bienes y servicios,44,61,44,827,44,62,44,628,
03 Asturias, Principado de,
    Cereales y derivados,14,266,13,281,14,202,14,602,
    Pan,11,572,10,549,11,311,11,543,
    Carne de vacuno,10,613,9,954,10,643,10,823,
    Carne de ovino,1,537,1,459,1,502,1,54,
    Carne de porcino,6,457,6,094,5,966,6,409,
    Carne de ave,6,768,6,336,6,458,6,778,
    Otras carnes,21,558,20,476,21,58,21,911,
    Pescado fresco y congelado,12,172,11,523,12,313,12,479,
