precio_alquiler;;;;;;
Ciudad;Precio m2 oct 2020;Variación mensual;Variación trimestral;Variación anual;Máximo histórico;Variación máximo
Guadalajara provincia;6.4;-1,80%;-0,60%;6,20%;6,5 €/m2 sep 2020;-1,80%
Guadalajara;7,0;-1,10%;-2,40%;4,40%;7,2 €/m2 mayo 2020;-2,80%
Toledo provincia;6,0;1,70%;0,10%;6,90%;6,0 €/m2 oct 2020;0,00%
Toledo;7.2;0,40%;0,60%;2,40%;7,4 €/m2 jun 2020;-2,40%
Cataluña;14.5;-2,00%;-0,30%;0,70%;15,2 €/m2 mayo 2020;-4,80%
Barcelona provincia;15,0;-1,80%;-0,80%;-1,40%;15,9 €/m2 mayo 2020;-5,80%
Barcelona;15.7;-1,80%;-3,30%;-5,70%;17,6 €/m2 mayo 2020;-10,70%
Girona provincia;9.3;-1,90%;0,00%;6,50%;12,3 €/m2 ago 2007;-23,90%
Girona;9.1;0,10%;-1,80%;-2,40%;9,8 €/m2 dic 2019;-7,80%
Lleida provincia;8,0;2,60%;5,00%;-12,00%;10,3 €/m2 dic 2019;-21,80%
Lleida;7,0;1,10%;3,10%;7,90%;7,0 €/m2 oct 2020;0,00%
Tarragona provincia;7.5;1,60%;1,90%;2,10%;9,2 €/m2 ago 2007;-18,40%
Tarragona;8.2;1,40%;-0,70%;-5,60%;8,7 €/m2 nov 2019;-6,40%
Comunitat Valenciana;7.8;0,30%;-1,30%;3,30%;9,4 €/m2 feb 2006;-17,10%
Alicante/Alacant;7.2;0,80%;0,00%;1,70%;9,2 €/m2 abr 2006;-21,40%
Alicante / Alacant;7.6;1,20%;0,00%;-0,10%;7,7 €/m2 mayo 2020;-1,20%
Castellón/Castelló;6.1;-0,20%;-4,20%;4,50%;8,3 €/m2 mayo 2007;-27,10%
Castellón de la Plana / Castello de la Plana;6.1;-1,10%;-4,60%;-0,20%;6,4 €/m2 mar 2020;-4,80%
Valencia/Valéncia;8.3;0,50%;-1,10%;2,90%;9,7 €/m2 ago 2006;-14,20%
València;9,0;1,10%;-1,60%;-0,90%;9,5 €/m2 mayo 2020;-5,70%
Euskadi;12.3;1,10%;2,30%;4,90%;12,3 €/m2 oct 2020;0,00%
Álava;9.4;-0,70%;0,70%;0,70%;9,5 €/m2 sep 2020;-0,70%
Vitoria-Gasteiz;9.6;-0,50%;0,60%;-0,20%;9,8 €/m2 nov 2019;-1,70%
Guipúzcoa;14,0;1,00%;3,40%;3,30%;14,0 €/m2 oct 2020;0,00%
Donostia-San Sebastián;14.9;2,20%;3,50%;2,60%;14,9 €/m2 oct 2020;0,00%
Vizcaya;11.9;0,70%;0,80%;5,80%;11,9 €/m2 oct 2020;0,00%
Bilbao;12.7;1,40%;1,30%;4,90%;13,2 €/m2 feb 2020;-4,10%
Extremadura;5.3;-0,30%;-1,50%;6,40%;5,4 €/m2 jul 2020;-1,50%
Badajoz provincia;5.4;-0,80%;-1,50%;5,60%;5,5 €/m2 jul 2020;-1,50%
Badajoz;6.1;0,60%;1,10%;6,10%;6,1 €/m2 oct 2020;0,00%
Cáceres provincia;5,0;1,20%;-1,10%;7,70%;5,1 €/m2 jul 2020;-1,10%
Cáceres;5.5;2,50%;1,30%;8,60%;5,5 €/m2 oct 2020;0,00%
Galicia;7,0;-1,30%;-3,60%;6,50%;8,7 €/m2 mayo 2007;-20,00%
A Coruña provincia;6.8;0,10%;-0,50%;5,50%;7,3 €/m2 abr 2008;-7,50%
A Coruña;7.9;1,30%;-1,00%;0,20%;8,2 €/m2 jun 2020;-3,40%
Lugo provincia;5.3;-0,90%;-0,30%;6,50%;5,5 €/m2 ago 2020;-3,40%
Lugo;5.8;0,90%;4,10%;6,60%;5,8 €/m2 oct 2020;0,00%
Ourense provincia;6,0;0,40%;5,10%;14,50%;6,0 €/m2 oct 2020;0,00%
Ourense;6.4;2,10%;6,30%;14,50%;6,4 €/m2 oct 2020;0,00%
Pontevedra provincia;8,0;-3,60%;-8,30%;6,20%;9,3 €/m2 mayo 2008;-14,30%
Pontevedra;6.5;0,40%;-3,90%;1,50%;7,1 €/m2 jun 2020;-8,30%
La Rioja;6.8;0,90%;2,00%;5,40%;6,8 €/m2 oct 2020;0,00%
La Rioja;6.8;0,90%;2,00%;5,40%;6,8 €/m2 oct 2020;0,00%
Logroño;7.1;1,30%;2,40%;4,30%;7,1 €/m2 oct 2020;0,00%
Madrid Comunidad;14.7;-1,30%;-2,40%;-1,80%;15,4 €/m2 mayo 2020;-4,00%
Madrid provincia;14.7;-1,30%;-2,40%;-1,80%;15,4 €/m2 mayo 2020;-4,00%
Madrid;15.7;-1,50%;-3,60%;-4,20%;16,8 €/m2 mayo 2020;-6,30%
Melilla;8.7;1,30%;2,70%;3,20%;9,5 €/m2 jun 2013;-8,60%
Melilla provincia;8.7;1,30%;2,70%;3,20%;9,5 €/m2 jun 2013;-8,60%
Melilla;8.7;1,30%;2,70%;3,20%;9,5 €/m2 jun 2013;-8,60%
Murcia Región;6.6;-1,50%;-1,90%;3,90%;7,1 €/m2 oct 2007;-7,70%
Murcia provincia;6.6;-1,50%;-1,90%;3,90%;7,1 €/m2 oct 2007;-7,70%
Murcia;7.1;0,40%;0,80%;0,50%;7,1 €/m2 mayo 2020;-0,90%
Navarra;8.6;-0,50%;1,80%;2,60%;8,7 €/m2 sep 2020;-0,50%
Navarra;8.6;-0,50%;1,80%;2,60%;8,7 €/m2 sep 2020;-0,50%
Pamplona/Iruña;9.2;-0,10%;2,10%;-1,70%;9,5 €/m2 nov 2019;-2,60%
